SourceTime;Side;Action;OrderId;Price;Qty;B0;BQ0;BN0;A0;AQ0;AN0
10898664087;;F;0;0;0;;;;;;
10900010928;1;Y;20220103000005;1;1;;;;;;
10900071896;2;Y;20220119023943;2368;1;;;;;;
10900071896;2;Y;20220119024012;2398;1;;;;;;
10900073173;2;Y;20220121000203;2299;1;;;;;;
10900073178;2;Y;20220121001035;2321;1;;;;;;
10900085902;2;Y;20220210000589;2329;1;;;;;;
10900118828;2;Y;20220317009855;2280;4;;;;;;
10900196984;2;Y;20220420000005;2138;1;;;;;;
10900197746;2;Y;20220420005048;2112;1;;;;;;
10900201783;2;Y;20220421000007;2072;1;;;;;;
10900206304;2;Y;20220421000009;2049;1;;;;;;
10900206446;2;Y;20220422000745;2026;1;;;;;;
10900220512;2;Y;20220427030429;1939;1;;;;;;
10900298066;2;Y;20220524000014;1870;1;;;;;;
10900301457;2;Y;20220524030396;1948;1;;;;;;
10900332000;2;Y;20220530022751;1896;1;;;;;;
10900332737;2;Y;20220530026923;1928;1;;;;;;
10900332813;2;Y;20220530027064;1956;1;;;;;;
10900335824;2;Y;20220531000013;1883;1;;;;;;
10900337120;2;Y;20220531002381;1875;1;;;;;;
10900341454;2;Y;20220531027846;2114;1;;;;;;
10900341454;2;Y;20220531027876;2059;1;;;;;;
10900341466;2;Y;20220531027921;1884;1;;;;;;
10900342509;2;Y;20220531036273;1871;1;;;;;;
10900345026;2;Y;20220601000002;1866;1;;;;;;
10900349125;2;Y;20220601001322;1860;1;;;;;;
10900357352;2;Y;20220601022701;1916;1;;;;;;
10900387864;2;Y;20220606010960;1859;1;;;;;;
10900392490;2;Y;20220606021356;1863;1;;;;;;
10900392498;2;Y;20220606021383;1873;1;;;;;;
10900392505;2;Y;20220606021400;1883;1;;;;;;
10900392506;2;Y;20220606021422;1893;1;;;;;;
10900392523;2;Y;20220606021445;1903;1;;;;;;
10900392531;2;Y;20220606021464;1913;1;;;;;;
10900392532;2;Y;20220606021487;1923;1;;;;;;
10900392539;2;Y;20220606021505;1933;1;;;;;;
10900392540;2;Y;20220606021508;1943;1;;;;;;
10900392546;2;Y;20220606021517;1953;1;;;;;;
10900392547;2;Y;20220606021520;1963;1;;;;;;
10900392548;2;Y;20220606021521;1973;1;;;;;;
10900392556;2;Y;20220606021524;1983;1;;;;;;
10900392564;2;Y;20220606021527;1993;1;;;;;;
10900392580;2;Y;20220606021585;2003;1;;;;;;
10900396459;2;Y;20220607000019;1858;1;;;;;;
10900399140;2;Y;20220607006243;1850;1;;;;;;
10900401881;2;Y;20220607016441;1840;1;;;;;;
10900409363;2;Y;20220608007370;2135;1;;;;;;
10900409389;2;Y;20220608007474;2085;1;;;;;;
10900410472;2;Y;20220608010413;1830;3;;;;;;
10900413239;2;Y;20220608017459;1830;1;;;;;;
10900414832;2;Y;20220608025621;1820;1;;;;;;
10900416843;2;Y;20220608038268;1810;1;;;;;;
10900418857;2;Y;20220609000022;1820;3;;;;;;
10900418858;2;Y;20220609000023;1810;3;;;;;;
10900428009;2;Y;20220609046329;1800;3;;;;;;
10900429004;2;Y;20220609061992;1790;3;;;;;;
10900433104;2;Y;20220610000485;1800;1;;;;;;
10900433109;2;Y;20220610000567;1790;1;;;;;;
10900433117;2;Y;20220610000609;1780;1;;;;;;
10900433118;2;Y;20220610000676;1770;1;;;;;;
10900433275;2;Y;20220610001073;1780;3;;;;;;
10900433315;2;Y;20220610001110;1770;3;;;;;;
10900434321;2;Y;20220610005879;1793;1;;;;;;
10900434559;2;Y;20220610008045;1760;3;;;;;;
10900434737;2;Y;20220610009264;1840;3;;;;;;
10900436713;2;Y;20220427024129;1997;1;;;;;;
10900436859;2;Y;20220610025242;1797;1;;;;;;
10900437421;2;Y;20220610029913;2035;1;;;;;;
10900438030;2;Y;20220610032779;2100;1;;;;;;
10900442207;2;Y;20220610071179;1750;3;;;;;;
10900443178;2;Y;20220610083666;1760;1;;;;;;
10900443185;2;Y;20220610083860;1750;1;;;;;;
10900443499;2;Y;20220610087714;1740;1;;;;;;
10900445272;2;Y;20220613000007;1786;1;;;;;;
10900445426;2;Y;20220613000009;1821;1;;;;;;
10900450290;2;Y;20220613000050;1786;1;;;;;;
10900450412;2;Y;20220613000112;1829;1;;;;;;
10900451208;1;Y;20220613001432;1519;26;;;;;;
10900452609;1;Y;20220613005936;1653;1;;;;;;
10900453898;1;Y;20220613014694;1502;1;;;;;;
10900455457;2;Y;20220613023916;1777;1;;;;;;
10900455778;1;Y;20220613025625;1550;4;;;;;;
10900457047;2;Y;20220613032934;1953;1;;;;;;
10900457274;1;Y;20220613033974;1650;1;;;;;;
10900458477;2;Y;20220613041152;1740;3;;;;;;
10900458512;2;Y;20220613041298;1730;3;;;;;;
10900458539;2;Y;20220613041374;1720;3;;;;;;
10900459251;2;Y;20220613045809;1834;1;;;;;;
10900461296;2;Y;20220613057930;1724;2;;;;;;
10900461326;2;Y;20220613058132;1724;2;;;;;;
10900461914;1;Y;20220613064981;1575;1;;;;;;
10900462273;1;Y;20220613068271;1572;1;;;;;;
10900469983;1;Y;20220614000032;1600;1;;;;;;
10900471642;1;Y;20220614000048;1623;1;;;;;;
10900471642;1;Y;20220614000049;1650;1;;;;;;
10900471643;1;Y;20220614000050;1600;1;;;;;;
10900472305;2;Y;20220614000059;1838;1;;;;;;
10900472761;1;Y;20220614000071;1643;1;;;;;;
10900473688;2;Y;20220614002060;1730;1;;;;;;
10900475938;1;Y;20220614014794;1650;2;;;;;;
10900476519;1;Y;20220614019227;1659;1;;;;;;
10900480327;2;Y;20220614041914;1747;1;;;;;;
10900480546;1;Y;20220614042595;1506;2;;;;;;
10900482136;1;Y;20220614054248;1657;1;;;;;;
10900482140;1;Y;20220614054380;1627;1;;;;;;
10900484281;2;Y;20220614077761;1768;1;;;;;;
10900485921;2;Y;20220614101339;1834;1;;;;;;
10900485927;2;Y;20220614101391;1859;1;;;;;;
